landslide_size,fatality_count,longitude,latitude
medium,0,-85.265,15.5227
medium,,-84.4481,39.1229
medium,,76.8521,31.9671
small,0,-121.9995,37.8237
small,0,-122.509,37.8985
large,,72.983,35.273
medium,10,73.038,33.7033
medium,0,-61.3124,15.3211
medium,0,-76.6791,-11.9161
small,0,-79.4974,9.077
medium,,-83.3698,36.8529
medium,,108.4852,15.234
medium,0,-43.2491,-22.9417
medium,3,125.570322,9.686187255
medium,0,88.3162,26.8073
medium,11,99.3373,25.9365
small,0,-81.5396,37.9547
small,0,-75.074,2.7664
medium,4,79.8102,30.6145
medium,0,-105.785,35.5722
large,30,110.501,22.8729
medium,0,88.6586,27.6163
medium,1,82.86,28.12
medium,0,-123.8975,46.9959
medium,3,78.8979,22.1337
medium,2,80.3828,6.7043
small,0,73.8976,15.3455
small,0,-80.3132,40.7217
medium,0,83.5983,28.3401
medium,,72.907,19.0397
medium,2,100.4284,-0.4521
medium,0,120.8246,16.5132
unknown,0,-123.2275,46.1185
medium,0,99.7283,7.8726
medium,,76.9312,31.709
large,24,99,25.6167
medium,0,79.4525,29.393
medium,,77.1947,32.1797
medium,0,33.4318,-9.938
medium,1,91.8123,22.3475
medium,0,84.094,27.9939
medium,0,-82.8232,8.5772
small,,77.1625,31.1032
large,24,125.5401,3.5424
medium,0,-78.3664,-0.6273
large,1,95.5488,22.1306
medium,0,-43.0304,-22.411
medium,0,-105.4323,40.6784
medium,0,71.5193,40.0076
small,0,-83.1816,37.034
medium,0,-0.279,6.1699
small,0,-122.2536,47.3093
medium,,-83.0299,35.6172
medium,1,123.8332,10.2451
medium,0,121.6034,14.6533
medium,6,117.7081,32.4792
medium,0,77.1889,31.9843
medium,0,-1.9953,52.5008
medium,0,-122.4897,46.6163
medium,0,-89.0401,13.5461
medium,0,80.6104,7.4239
medium,1,91.885,25.5728
medium,0,105.6975,28.5919
medium,3,120.8147,16.9645
medium,1,120.4525,16.9
medium,0,73.673,34.2256
small,0,-117.5833,33.7474
medium,0,74.7249,36.2744
medium,3,81.3,29.2944
medium,0,-86.6146,13.3864
medium,0,-43.3147,-22.9251
medium,0,95.0243,26.7223
medium,0,-43.2903,-22.9766
medium,0,73.927,15.4465
medium,0,103.1797,-4.3256
medium,7,33.8306,3.9081
medium,0,-121.859,50.8267
medium,,-2.417,56.7709
medium,0,77.6001,34.5628
medium,0,175.0955,-36.7929
medium,1,-68.844,-32.8902
unknown,0,-122.8857,46.0284
small,0,82.2873,28.8389
medium,1,83.8734,28.0989
